Gene,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA tissue cell type enrichment
MSRA,Tissue enhanced,Detected in many,,kidney: 83.6;liver: 62.4,"Kidney - Proximal tubular cells, Liver - Hepatocytes, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Thyroid glandular cells"
MSRB1,Tissue enhanced,Detected in all,,liver: 228.5,"Breast - Adipocytes (Breast), Colon - Smooth muscle cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Lung - Neutrophil_2, Prostate - Smooth muscle cells"
MSS51,Tissue enriched,Detected in many,5,skeletal muscle: 251.6,Skeletal muscle - Skeletal myocytes
MST1,Tissue enriched,Detected in all,10,liver: 905.4,"Adipose visceral - Mesothelial cells, Kidney - Proximal tubular cells, Skeletal muscle - Fibroblasts"
MST1R,Tissue enhanced,Detected in many,,intestine: 18.8;skin 1: 31.1;stomach 1: 26.4,"Adipose visceral - Mesothelial cells, Prostate - Urothelial cells, Skin - Keratinocyte (other), Stomach - Gastric mucous cells, Testis - Late spermatids"
MSTN,Tissue enhanced,Detected in some,,skeletal muscle: 9.7;tongue: 14.7,Colon - Enteric glia cells
MSX1,Group enriched,Detected in many,5,cervix: 55.2;choroid plexus: 144.4,Kidney - Endothelial cells
MSX2,Tissue enhanced,Detected in many,,parathyroid gland: 24.9;placenta: 32.4;urinary bladder: 16.9,"Breast - Breast glandular cells, Breast - Breast glandular cells, Testis - Sertoli cells"
MT-ATP6,Tissue enhanced,Detected in all,,heart muscle: 233045.7,
MT-ATP8,Tissue enhanced,Detected in all,,heart muscle: 339891.8,
MT-CO1,Tissue enhanced,Detected in all,,heart muscle: 247736.1;tongue: 177371.5,Breast - Adipocytes (Breast)
MT-CO2,Tissue enhanced,Detected in all,,heart muscle: 204529.8,Breast - Adipocytes (Breast)
MT-CO3,Tissue enhanced,Detected in all,,heart muscle: 224217.6,
MT-CYB,Tissue enhanced,Detected in all,,heart muscle: 126391.2,
MT-ND1,Tissue enhanced,Detected in all,,heart muscle: 124124.2,
MT-ND2,Tissue enhanced,Detected in all,,brain: 110717.6;heart muscle: 126601.2,
MT-ND3,Tissue enhanced,Detected in all,,heart muscle: 178667.2,
MT-ND4,Tissue enhanced,Detected in all,,heart muscle: 190669.7,
MT-ND4L,Tissue enhanced,Detected in all,,heart muscle: 140746.3;tongue: 98837.0,
MT-ND5,Tissue enhanced,Detected in all,,heart muscle: 25322.2;skeletal muscle: 24793.5,"Breast - Adipocytes (Breast), Lung - Alveolar cells type 2"
MT-ND6,Tissue enhanced,Detected in all,,heart muscle: 34519.6;skeletal muscle: 55888.8,Lung - Alveolar cells type 2
MT1A,Tissue enhanced,Detected in many,,adipose tissue: 472.3;liver: 420.0,"Breast - Adipocytes (Breast), Colon - Neutrophils"
MT1B,Tissue enriched,Detected in some,19,liver: 22.4,
MT1E,Tissue enhanced,Detected in all,,liver: 1743.2,
MT1F,Tissue enhanced,Detected in all,,kidney: 548.8;liver: 548.2;thyroid gland: 1147.1,"Stomach - Chief cells, Thyroid - Thyroid glandular cells"
MT1G,Tissue enhanced,Detected in many,,kidney: 3431.1;liver: 6693.8;thyroid gland: 2788.7,"Kidney - Proximal tubular cells, Stomach - Chief cells"
MT1H,Tissue enhanced,Detected in many,,kidney: 822.2;liver: 1109.0,"Kidney - Proximal tubular cells, Stomach - Chief cells"
MT1HL1,Tissue enriched,Detected in some,4,heart muscle: 5.6,Heart muscle - Cardiomyocytes
MT1M,Tissue enhanced,Detected in many,,adipose tissue: 386.1;liver: 548.4,"Colon - Neutrophils, Skin - Macrophages"
MT1X,Tissue enhanced,Detected in all,,liver: 3931.5;skeletal muscle: 5884.2,"Kidney - Proximal tubular cells, Thyroid - Thyroid glandular cells"
MT2A,Tissue enhanced,Detected in all,,liver: 5644.8,
MT3,Tissue enriched,Detected in many,8,brain: 4115.5,
MT4,Tissue enriched,Detected in some,7,skin 1: 120.2,
MTA3,Tissue enhanced,Detected in all,,lymphoid tissue: 68.6,"Skin - Mitotic cells (Skin), Testis - Spermatocytes, Testis - Spermatogonia"
MTARC1,Tissue enhanced,Detected in all,,adipose tissue: 165.0;breast: 83.5;liver: 82.5,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes, Prostate - Prostate glandular cells, Skin - Adipocytes (Skin), Thyroid - Thyroid glandular cells"
MTARC2,Tissue enhanced,Detected in many,,kidney: 127.2;liver: 216.4,Liver - Hepatocytes
MTCL1,Group enriched,Detected in many,5,brain: 34.9;retina: 15.0,"Skin - Outer root sheath cells, Testis - Sertoli cells"
MTF1,Tissue enhanced,Detected in all,,bone marrow: 20.3,Testis - Early spermatids
MTFR2,Tissue enhanced,Detected in some,,bone marrow: 16.1;testis: 6.8,"Lung - Mitotic cells (Lung), Stomach - Mitotic cells (Stomach), Testis - Early spermatids"
MTHFD1,Tissue enriched,Detected in all,5,liver: 330.3,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes"
MTHFD2L,Tissue enhanced,Detected in many,,liver: 5.0,Lung - Alveolar cells type 2
MTHFS,Tissue enriched,Detected in all,5,liver: 247.1,"Adipose subcutaneous - Adipocytes (Subcutaneous), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Sertoli cells, Thyroid - Thyroid glandular cells"
MTLN,Group enriched,Detected in all,5,heart muscle: 222.1;skeletal muscle: 758.0;tongue: 269.7,Heart muscle - Cardiomyocytes
MTMR10,Tissue enhanced,Detected in all,,brain: 77.1,Liver - Hepatocytes
MTMR11,Tissue enhanced,Detected in many,,intestine: 25.9,"Heart muscle - Fibroblasts, Thyroid - Fibroblasts"
MTMR3,Tissue enhanced,Detected in all,,bone marrow: 80.7,
MTMR7,Tissue enhanced,Detected in many,,brain: 12.0;retina: 27.5,"Adipose visceral - Mesothelial cells, Pancreas - Alpha cells, Testis - Early spermatids"
MTNR1A,Tissue enhanced,Detected in single,,kidney: 1.8,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Testis - Early spermatids"
MTNR1B,Tissue enhanced,Detected in single,,placenta: 1.0,Testis - Early spermatids
MTPAP,Tissue enhanced,Detected in all,,bone marrow: 36.3,"Testis - Early spermatids, Testis - Late spermatids"
MTRFR,Tissue enhanced,Detected in all,,lymphoid tissue: 58.5,"Testis - Early spermatids, Testis - Late spermatids"
MTSS2,Tissue enhanced,Detected in all,,brain: 294.5,
MTTP,Group enriched,Detected in some,21,intestine: 267.5;liver: 258.5,"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Testis - Early spermatids"
MTURN,Tissue enriched,Detected in all,11,brain: 1852.7,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast)"
MTUS2,Tissue enriched,Detected in many,7,heart muscle: 48.5,"Adipose visceral - Mesothelial cells, Breast - Breast myoepithelial cells, Heart muscle - Cardiomyocytes, Testis - Spermatogonia"
MUC1,Tissue enhanced,Detected in many,,kidney: 419.1;stomach 1: 862.1,"Adipose visceral - Mesothelial cells, Breast - Breast glandular cells, Colon - Mitotic cells (Colon), Lung - Alveolar cells type 2, Skin - Sebaceous gland cells, Stomach - Gastric mucous cells, Testis - Early spermatids, Testis - Late spermatids"
MUC12,Tissue enriched,Detected in some,10,intestine: 65.6,"Colon - Colon enterocytes, Testis - Late spermatids"
MUC13,Tissue enriched,Detected in some,10,intestine: 597.4,"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Stomach - Gastric mucous cells"
MUC15,Tissue enriched,Detected in many,26,epididymis: 1903.7,"Kidney - Ascending Loop of Henle cells, Prostate - Prostate basal glandular cells, Testis - Early spermatids"
MUC16,Group enriched,Detected in some,4,adipose tissue: 7.0;cervix: 15.4;fallopian tube: 5.7;salivary gland: 5.9,"Adipose visceral - Mesothelial cells, Lung - Respiratory ciliated cells, Prostate - Urothelial cells, Testis - Late spermatids, Thyroid - T-cells"
MUC17,Tissue enriched,Detected in single,62,intestine: 41.5,Colon - Colon enterocytes
MUC19,Group enriched,Detected in some,18,salivary gland: 3.2;testis: 1.0,"Testis - Early spermatids, Testis - Late spermatids"
MUC2,Tissue enriched,Detected in some,12,intestine: 129.5,Colon - Colon enterocytes
MUC21,Tissue enhanced,Detected in some,,cervix: 132.1;esophagus: 676.9;vagina: 237.1,Lung - Alveolar cells type 2
MUC22,Tissue enriched,Detected in some,7,esophagus: 17.2,Heart muscle - Cardiomyocytes
MUC3A,Tissue enhanced,Detected in some,,gallbladder: 13.4;intestine: 40.6,
MUC4,Tissue enhanced,Detected in some,,esophagus: 18.6;intestine: 30.3;prostate: 14.4;vagina: 14.6,"Colon - Colon enterocytes, Lung - Respiratory ciliated cells, Prostate - Urothelial cells, Testis - Late spermatids"
MUC5AC,Tissue enriched,Detected in some,102,stomach 1: 180.4,"Lung - Respiratory ciliated cells, Stomach - Gastric mucous cells, Testis - Spermatogonia"
MUC5B,Tissue enriched,Detected in many,12,salivary gland: 2543.7,"Colon - Colon enterocytes, Lung - Respiratory ciliated cells, Pancreas - Ductal cells, Skin - Eccrine sweat gland cells"
MUC6,Group enriched,Detected in many,10,pancreas: 166.3;stomach 1: 398.8,
MUC7,Tissue enriched,Detected in many,877,salivary gland: 25265.8,Skin - Eccrine sweat gland cells
MUCL1,Tissue enriched,Detected in many,4,breast: 3139.6,
MUCL3,Tissue enriched,Detected in some,19,stomach 1: 197.9,"Lung - Alveolar cells type 2, Stomach - Gastric mucous cells"
MUSK,Tissue enhanced,Detected in some,,skeletal muscle: 3.9,
MUSTN1,Tissue enriched,Detected in many,6,skeletal muscle: 1631.9,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Heart muscle - Smooth muscle cells, Lung - Smooth muscle cells, Thyroid - Smooth muscle cells"
MVB12B,Tissue enriched,Detected in all,5,brain: 112.7,
MVK,Tissue enhanced,Detected in all,,liver: 56.7,"Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids"
MX1,Tissue enhanced,Detected in all,,salivary gland: 123.7,
MX2,Tissue enhanced,Detected in many,,lymphoid tissue: 29.7,"Colon - Enteric glia cells, Lung - NK-cells (Lung)"
MXD1,Tissue enhanced,Detected in all,,bone marrow: 171.5;esophagus: 126.4,"Testis - Early spermatids, Thyroid - Neutrophils"
MXD3,Tissue enhanced,Detected in many,,bone marrow: 40.6,
MXRA5,Tissue enhanced,Detected in many,,cervix: 33.7,"Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Skin - Fibroblast_1"
MYADML2,Tissue enriched,Detected in some,5,skeletal muscle: 81.0,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"
MYB,Group enriched,Detected in many,4,bone marrow: 34.7;breast: 19.5;intestine: 25.7;lymphoid tissue: 64.3,"Adipose subcutaneous - Mast cells, Breast - Breast glandular cells, Lung - Respiratory ciliated cells, Thyroid - T-cells"
MYBL1,Tissue enhanced,Detected in many,,lymphoid tissue: 19.7;testis: 11.4,"Adipose visceral - T-cells, Kidney - T-cells, Liver - NK-cells (Liver), Lung - NK-cells (Lung), Testis - Early spermatids, Testis - Spermatocytes, Thyroid - T-cells"
MYBL2,Group enriched,Detected in many,5,bone marrow: 90.6;lymphoid tissue: 54.2,"Colon - Mitotic cells (Colon), Heart muscle - Mitotic cells (Heart), Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Thyroid - Mitotic cells (Thyroid)"
MYBPC1,Group enriched,Detected in many,87,skeletal muscle: 10887.8;tongue: 5006.5,"Heart muscle - Cardiomyocytes, Prostate - Prostate glandular cells, Skeletal muscle - Skeletal myocytes, Skin - Eccrine sweat gland cells, Testis - Early spermatids, Testis - Late spermatids"
MYBPC2,Group enriched,Detected in some,13,skeletal muscle: 4185.0;tongue: 1152.9,Skeletal muscle - Skeletal myocytes
MYBPC3,Tissue enriched,Detected in some,585,heart muscle: 1663.8,"Heart muscle - Cardiomyocytes, Testis - Late spermatids"
MYBPH,Tissue enhanced,Detected in some,,salivary gland: 15.7;skeletal muscle: 71.7;tongue: 18.8,
MYBPHL,Tissue enriched,Detected in some,35,heart muscle: 102.3,
MYC,Tissue enhanced,Detected in many,,adipose tissue: 246.4;skin 1: 280.2,
MYCBPAP,Tissue enriched,Detected in some,13,testis: 63.2,"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"
MYCL,Tissue enhanced,Detected in many,,pancreas: 65.7;skin 1: 40.1,Liver - Hepatocytes
MYCN,Tissue enhanced,Detected in many,,placenta: 7.9,Skin - Inner root sheath cells
MYCT1,Tissue enhanced,Detected in all,,lymphoid tissue: 48.3,"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Sinusoid Endothelial cells, Liver - Vascular Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells"
MYEOV,Tissue enhanced,Detected in some,,adipose tissue: 5.2;breast: 5.0;esophagus: 9.3;stomach 1: 5.9,"Adipose subcutaneous - Adipocytes (Subcutaneous), Prostate - Urothelial cells, Stomach - Gastric mucous cells, Testis - Late spermatids"
MYF5,Group enriched,Detected in some,23,skeletal muscle: 5.4;tongue: 8.5,Skeletal muscle - Fibroblasts
MYF6,Group enriched,Detected in some,41,skeletal muscle: 424.5;tongue: 199.5,
MYH1,Tissue enriched,Detected in some,137,skeletal muscle: 7599.5,"Skeletal muscle - Skeletal myocytes, Testis - Early spermatids"
MYH11,Tissue enhanced,Detected in many,,intestine: 3210.5;seminal vesicle: 1611.1;urinary bladder: 1980.8,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Breast - Smooth muscle cells, Colon - Smooth muscle cells, Heart muscle - Smooth muscle cells, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Smooth muscle cells, Skin - Smooth muscle cells, Thyroid - Smooth muscle cells"
MYH13,Tissue enhanced,Detected in some,,skeletal muscle: 1.5;stomach 1: 1.5,Skeletal muscle - Skeletal myocytes
MYH14,Tissue enhanced,Detected in many,,intestine: 72.6;skeletal muscle: 100.1,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Colon - Colon enterocytes, Liver - Hepatocytes, Skin - Keratinocyte (other), Stomach - Gastric mucous cells, Testis - Spermatogonia"
MYH15,Tissue enhanced,Detected in some,,brain: 1.8;retina: 3.1;tongue: 2.0,Testis - Early spermatids
MYH2,Group enriched,Detected in some,83,skeletal muscle: 12336.7;tongue: 5903.7,Skeletal muscle - Skeletal myocytes
MYH3,Tissue enhanced,Detected in many,,prostate: 28.0;seminal vesicle: 17.7;skeletal muscle: 19.9,Skeletal muscle - Fibroblasts
MYH4,Tissue enriched,Detected in single,60,skeletal muscle: 10.2,Skeletal muscle - Skeletal myocytes
MYH6,Tissue enriched,Detected in some,54,heart muscle: 2783.3,
MYH7,Group enriched,Detected in many,71,heart muscle: 7325.3;skeletal muscle: 14038.0;tongue: 5171.5,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"
MYH7B,Group enriched,Detected in many,9,heart muscle: 341.3;skeletal muscle: 151.6,"Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Testis - Late spermatids"
MYH8,Group enriched,Detected in some,9,esophagus: 15.4;lymphoid tissue: 10.4;skeletal muscle: 16.1;tongue: 9.6,"Kidney - Ascending Loop of Henle cells, Testis - Spermatogonia"
MYL1,Group enriched,Detected in many,87,skeletal muscle: 21042.5;tongue: 14976.0,"Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"
MYL11,Group enriched,Detected in many,108,skeletal muscle: 19217.8;tongue: 5684.3,Skeletal muscle - Skeletal myocytes
MYL12A,Group enriched,Detected in all,5,heart muscle: 4086.5;skeletal muscle: 2965.6;tongue: 2000.6,Skeletal muscle - Skeletal myocytes
MYL2,Group enriched,Detected in many,71,heart muscle: 27012.9;skeletal muscle: 27956.9;tongue: 19033.3,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"
MYL3,Tissue enhanced,Detected in all,,heart muscle: 8864.0;skeletal muscle: 4958.0;tongue: 1992.3,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"
MYL4,Tissue enriched,Detected in many,46,heart muscle: 6136.8,Heart muscle - Cardiomyocytes
MYL6B,Tissue enhanced,Detected in all,,skeletal muscle: 658.6;tongue: 628.9,"Adipose visceral - Adipose progenitor cells, Skeletal muscle - Skeletal myocytes, Thyroid - Thyroid glandular cells"
MYL7,Tissue enriched,Detected in many,1058,heart muscle: 22398.8,Heart muscle - Cardiomyocytes
MYL9,Tissue enhanced,Detected in all,,intestine: 7746.2,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Smooth muscle cells, Liver - Hepatic stellate cells, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Smooth muscle cells, Skin - Smooth muscle cells, Thyroid - Smooth muscle cells"
MYLK,Tissue enhanced,Detected in all,,seminal vesicle: 1613.5;smooth muscle: 1992.7,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Smooth muscle cells, Heart muscle - Smooth muscle cells, Kidney - Fibroblasts, Prostate - Smooth muscle cells, Skeletal muscle - Smooth muscle cells, Skin - Smooth muscle cells, Thyroid - Smooth muscle cells"
MYLK2,Tissue enriched,Detected in some,12,skeletal muscle: 706.3,
MYLK3,Group enriched,Detected in some,12,heart muscle: 99.7;skeletal muscle: 44.8;tongue: 69.7,"Heart muscle - Cardiomyocytes, Kidney - Podocytes, Lung - Respiratory ciliated cells, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes, Testis - Sertoli cells"
MYLK4,Group enriched,Detected in some,17,skeletal muscle: 27.8;tongue: 68.5,Kidney - Proximal tubular cells
MYMX,Group enriched,Detected in some,5,adipose tissue: 7.4;breast: 6.6;pancreas: 5.4;stomach 1: 2.2,"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Skeletal muscle - Fibroblasts"
MYO15A,Tissue enriched,Detected in some,9,pituitary gland: 58.5,"Adipose visceral - Adipose progenitor cells, Heart muscle - Fibroblasts, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids"
MYO15B,Tissue enriched,Detected in all,5,intestine: 208.1,Skin - Endothelial cells
MYO16,Tissue enhanced,Detected in some,,brain: 2.5;liver: 1.8,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes, Testis - Early spermatids"
MYO18A,Tissue enhanced,Detected in all,,skeletal muscle: 390.0;tongue: 118.9,Heart muscle - Cardiomyocytes
MYO18B,Tissue enhanced,Detected in some,,heart muscle: 117.0;skeletal muscle: 253.5;tongue: 53.4,"Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids"
MYO1A,Tissue enriched,Detected in some,20,intestine: 320.7,"Colon - Colon enterocytes, Pancreas - Ductal cells, Stomach - Gastric mucous cells"
MYO1B,Tissue enhanced,Detected in many,,liver: 247.8,"Adipose subcutaneous - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Liver - Hepatocytes, Skeletal muscle - Endothelial cells, Stomach - Endothelial cells, Testis - Spermatogonia"
MYO1D,Tissue enhanced,Detected in all,,intestine: 107.6,
MYO1F,Group enriched,Detected in many,5,bone marrow: 94.9;lung: 28.4;lymphoid tissue: 90.8,"Adipose subcutaneous - Macrophages, Lung - Neutrophil_2, Testis - Macrophages, Thyroid - T-cells"
MYO1G,Tissue enhanced,Detected in many,,bone marrow: 43.1;lymphoid tissue: 26.5,"Adipose subcutaneous - T-cells, Breast - T-cells, Kidney - T-cells, Prostate - T-cells, Thyroid - T-cells"
MYO3A,Group enriched,Detected in some,6,retina: 15.0;testis: 5.0,"Adipose subcutaneous - Smooth muscle cells, Skeletal muscle - Smooth muscle cells, Testis - Early spermatids, Testis - Late spermatids"
MYO3B,Tissue enhanced,Detected in some,,epididymis: 13.7;kidney: 5.1;parathyroid gland: 8.5;retina: 5.7,"Kidney - Ascending Loop of Henle cells, Skin - Outer root sheath cells, Testis - Early spermatids, Testis - Late spermatids"
MYO5A,Tissue enhanced,Detected in all,,brain: 35.2;parathyroid gland: 37.7,Adipose subcutaneous - Macrophages
MYO5B,Tissue enhanced,Detected in many,,intestine: 60.2,"Adipose visceral - Mesothelial cells, Colon - Colon enterocytes, Stomach - Gastric mucous cells, Testis - Early spermatids, Thyroid - Thyroid glandular cells"
MYO7A,Tissue enhanced,Detected in many,,adrenal gland: 40.6,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Kidney - Proximal tubular cells, Skeletal muscle - Macrophages, Testis - Sertoli cells"
MYO7B,Tissue enriched,Detected in some,8,intestine: 76.3,"Kidney - Proximal tubular cells, Liver - Vascular Endothelial cells, Pancreas - Ductal cells, Skin - Keratinocyte (granular)"
MYO9A,Tissue enhanced,Detected in all,,retina: 59.8,Testis - Early spermatids
MYO9B,Tissue enhanced,Detected in all,,lymphoid tissue: 154.4,Testis - Sertoli cells
MYOC,Tissue enhanced,Detected in many,,tongue: 106.5,Colon - Fibroblasts
MYOCD,Tissue enhanced,Detected in many,,intestine: 23.4,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Breast - Endothelial cells, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Smooth muscle cells, Skin - Smooth muscle cells, Thyroid - Smooth muscle cells"
MYOCOS,Tissue enhanced,Detected in some,,cervix: 5.1;epididymis: 3.7,Testis - Late spermatids
MYOD1,Tissue enriched,Detected in some,10,skeletal muscle: 34.8,
MYOG,Group enriched,Detected in some,18,skeletal muscle: 97.4;tongue: 44.8,
MYOM1,Group enriched,Detected in many,37,heart muscle: 387.3;skeletal muscle: 785.7;tongue: 411.6,"Adipose subcutaneous - Smooth muscle cells, Colon - Smooth muscle cells, Heart muscle - Cardiomyocytes, Prostate - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"
MYOM2,Group enriched,Detected in some,6,heart muscle: 331.4;skeletal muscle: 374.2,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"
MYOM3,Group enriched,Detected in many,8,heart muscle: 215.4;skeletal muscle: 310.2;tongue: 245.9,"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Skeletal muscle - Skeletal myocytes, Testis - Sertoli cells"
MYORG,Tissue enhanced,Detected in all,,skeletal muscle: 81.1,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Liver - Hepatocytes"
MYOT,Group enriched,Detected in many,61,skeletal muscle: 2106.0;tongue: 1959.7,"Colon - Enteric glia cells, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"
MYOZ1,Group enriched,Detected in many,81,skeletal muscle: 6883.6;tongue: 3179.3,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Skeletal muscle - Skeletal myocytes"
MYOZ2,Tissue enhanced,Detected in some,,heart muscle: 744.1;skeletal muscle: 217.6;tongue: 166.8,"Adipose subcutaneous - Smooth muscle cells, Heart muscle - Cardiomyocytes, Lung - Smooth muscle cells, Skeletal muscle - Skeletal myocytes"
MYOZ3,Group enriched,Detected in many,40,skeletal muscle: 225.8;tongue: 190.6,"Skeletal muscle - Skeletal myocytes, Testis - Peritubular cells, Thyroid - Fibroblasts"
MYPN,Tissue enhanced,Detected in some,,heart muscle: 65.9;skeletal muscle: 277.9;tongue: 176.2,
MYRF,Group enriched,Detected in many,4,brain: 160.2;stomach 1: 85.9,"Adipose visceral - Mesothelial cells, Lung - Alveolar cells type 1"
MYRFL,Tissue enriched,Detected in some,9,intestine: 22.3,
MYRIP,Tissue enhanced,Detected in many,,brain: 34.7,
MYT1,Tissue enriched,Detected in some,4,brain: 34.2,"Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Pancreas - Beta cells"
MYT1L,Group enriched,Detected in some,5,brain: 39.4;pituitary gland: 14.4,"Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Pancreas - Beta cells, Testis - Spermatocytes"
MYZAP,Tissue enriched,Detected in many,7,heart muscle: 567.9,"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Prostate - Smooth muscle cells, Thyroid - Fibroblasts"
MZB1,Tissue enhanced,Detected in many,,intestine: 87.2;lymphoid tissue: 265.7,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Pancreas - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Stomach - Plasma cells, Thyroid - Plasma cells"
MZT2A,Tissue enhanced,Detected in many,,heart muscle: 244.3,
N4BP2,Tissue enhanced,Detected in many,,lymphoid tissue: 11.0,Testis - Spermatocytes
N4BP3,Tissue enhanced,Detected in many,,esophagus: 15.2,"Skin - Keratinocyte (granular), Testis - Spermatogonia"
NAA11,Group enriched,Detected in some,11,placenta: 4.0;testis: 6.0,Testis - Early spermatids
NAA16,Tissue enhanced,Detected in all,,bone marrow: 23.2;pancreas: 19.8,
NAA50,Tissue enhanced,Detected in all,,skeletal muscle: 266.9,
NAA80,Tissue enhanced,Detected in all,,testis: 63.7,"Testis - Early spermatids, Testis - Late spermatids"
NAALAD2,Tissue enhanced,Detected in many,,pituitary gland: 19.4,"Liver - Hepatic stellate cells, Thyroid - Fibroblasts"
NAALADL1,Tissue enriched,Detected in all,4,intestine: 96.6,"Liver - Vascular Endothelial cells, Prostate - Fibroblasts"
NABP1,Tissue enhanced,Detected in many,,lymphoid tissue: 35.8,Testis - Early spermatids
NACA2,Tissue enriched,Detected in some,33,testis: 62.4,Testis - Early spermatids
NACAD,Group enriched,Detected in many,5,brain: 64.3;pituitary gland: 23.7,Prostate - Fibroblasts
NACC2,Tissue enhanced,Detected in all,,brain: 63.4,"Breast - Adipocytes (Breast), Prostate - Smooth muscle cells, Testis - Spermatogonia"
NADK2,Tissue enriched,Detected in all,11,liver: 318.2,"Liver - Hepatocytes, Testis - Early spermatids"
NAGS,Group enriched,Detected in many,7,intestine: 15.4;liver: 47.0,Testis - Early spermatids
NAIP,Tissue enhanced,Detected in many,,lymphoid tissue: 30.8,"Adipose subcutaneous - Macrophages, Lung - Neutrophil_2"
NALCN,Tissue enhanced,Detected in many,,brain: 15.6,"Adipose subcutaneous - Smooth muscle cells, Colon - Colon enteroendocrine cells, Liver - Hepatic stellate cells, Skin - Eccrine sweat gland cells, Testis - Peritubular cells"
NALF1,Tissue enhanced,Detected in some,,brain: 8.8;pituitary gland: 5.3,
NALF2,Tissue enriched,Detected in some,5,heart muscle: 42.0,"Heart muscle - Cardiomyocytes, Prostate - Prostate glandular cells, Testis - Spermatogonia"
